"","Colony","Mass"
"1",1,109
"2",1,120
"3",1,94
"4",1,61
"5",1,72
"6",1,134
"7",1,94
"8",1,113
"9",1,111
"10",1,106
"11",1,107
"12",1,96
"13",1,53
"14",1,121
"15",1,85
"16",1,115
"17",1,109
"18",1,105
"19",1,93
"20",1,103
"21",1,110
"22",1,94
"23",1,91
"24",1,161
"25",1,44
"26",1,87
"27",1,107
"28",1,107
"29",1,86
"30",1,91
"31",1,156
"32",1,95
"33",1,95
"34",1,98
"35",1,72
"36",1,76
"37",1,154
"38",1,34
"39",1,125
"40",1,51
"41",1,83
"42",1,36
"43",1,105
"44",1,63
"45",1,49
"46",1,91
"47",1,104
"48",1,93
"49",1,84
"50",1,95
"51",1,80
"52",1,74
"53",1,96
"54",1,149
"55",1,107
"56",1,98
"57",1,110
"58",1,115
"59",1,107
"60",1,105
"61",1,96
"62",1,70
"63",1,96
"64",1,127
"65",1,131
"66",1,104
"67",1,126
"68",1,83
"69",1,108
"70",1,99
"71",1,92
"72",1,103
"73",1,104
"74",1,107
"75",1,120
"76",1,112
"77",1,97
"78",1,94
"79",1,92
"80",1,123
"81",1,72
"82",1,92
"83",1,75
"84",1,110
"85",1,97
"86",1,93
"87",1,88
"88",1,82
"89",1,101
"90",1,110
"91",1,75
"92",1,81
"93",1,99
"94",1,103
"95",1,114
"96",1,101
"97",1,77
"98",1,125
"99",1,90
"100",2,148
"101",2,110
"102",2,110
"103",2,97
"104",2,136
"105",2,115
"106",2,101
"107",2,158
"108",2,67
"109",2,114
"110",2,62
"111",2,67
"112",2,121
"113",2,47
"114",2,82
"115",2,79
"116",2,119
"117",2,111
"118",2,47
"119",2,75
"120",2,60
"121",2,104
"122",2,133
"123",2,134
"124",2,73
"125",2,121
"126",2,73
"127",2,86
"128",2,63
"129",2,84
"130",2,129
"131",2,106
"132",2,90
"133",2,62
"134",2,70
"135",2,86
"136",2,99
"137",2,50
"138",2,133
"139",2,74
"140",2,140
"141",2,77
"142",2,137
"143",2,94
"144",2,79
"145",2,105
"146",2,104
"147",2,99
"148",2,67
"149",2,129
"150",2,97
"151",2,126
"152",2,152
"153",2,67
"154",2,60
"155",2,94
"156",2,128
