SampleID,Location,Country,Species,Source,Lat_N,Lon_E,IlluminaName,RunID
HO_CY_Le_01,Cyrene,Singapore,Halophila ovalis,Leaf,1.258905,103.754918,AFI1240,MUX8041
HO_CY_Le_02,Cyrene,Singapore,Halophila ovalis,Leaf,1.258905,103.754918,AFI1241,MUX8041
HO_CY_Le_03,Cyrene,Singapore,Halophila ovalis,Leaf,1.258905,103.754918,AFI1242,MUX8041
HO_CY_Le_04,Cyrene,Singapore,Halophila ovalis,Leaf,1.258905,103.754918,AFI1243,MUX8041
HO_CY_Le_05,Cyrene,Singapore,Halophila ovalis,Leaf,1.258905,103.754918,AFI1244,MUX8041
HO_CY_Le_06,Cyrene,Singapore,Halophila ovalis,Leaf,1.258905,103.754918,AFI1245,MUX8041
HO_CY_Le_07,Cyrene,Singapore,Halophila ovalis,Leaf,1.258905,103.754918,AFI1246,MUX8041
HO_CY_Le_08,Cyrene,Singapore,Halophila ovalis,Leaf,1.258905,103.754918,AFI1247,MUX8041
HO_CY_Le_09,Cyrene,Singapore,Halophila ovalis,Leaf,1.258905,103.754918,AFI1248,MUX8041
HO_CY_Le_10,Cyrene,Singapore,Halophila ovalis,Leaf,1.258905,103.754918,AFI1249,MUX8041
HO_CY_Rh_01,Cyrene,Singapore,Halophila ovalis,Rhizome,1.258905,103.754918,AFI1250,MUX8041
HO_CY_Rh_02,Cyrene,Singapore,Halophila ovalis,Rhizome,1.258905,103.754918,AFI1251,MUX8041
HO_CY_Rh_03,Cyrene,Singapore,Halophila ovalis,Rhizome,1.258905,103.754918,AFI1252,MUX8041
HO_CY_Rh_04,Cyrene,Singapore,Halophila ovalis,Rhizome,1.258905,103.754918,AFI1253,MUX8041
HO_CY_Rh_05,Cyrene,Singapore,Halophila ovalis,Rhizome,1.258905,103.754918,AFI1254,MUX8041
HO_CY_Rh_06,Cyrene,Singapore,Halophila ovalis,Rhizome,1.258905,103.754918,AFI1255,MUX8041
HO_CY_Rh_07,Cyrene,Singapore,Halophila ovalis,Rhizome,1.258905,103.754918,AFI1256,MUX8041
HO_CY_Rh_08,Cyrene,Singapore,Halophila ovalis,Rhizome,1.258905,103.754918,AFI1257,MUX8041
HO_CY_Rh_09,Cyrene,Singapore,Halophila ovalis,Rhizome,1.258905,103.754918,AFI1258,MUX8041
HO_CY_Rh_10,Cyrene,Singapore,Halophila ovalis,Rhizome,1.258905,103.754918,AFI1259,MUX8041
HO_CY_Ro_01,Cyrene,Singapore,Halophila ovalis,Root,1.258905,103.754918,AFI1260,MUX8041
HO_CY_Ro_02,Cyrene,Singapore,Halophila ovalis,Root,1.258905,103.754918,AFI1261,MUX8041
HO_CY_Ro_03,Cyrene,Singapore,Halophila ovalis,Root,1.258905,103.754918,AFI1262,MUX8041
HO_CY_Ro_04,Cyrene,Singapore,Halophila ovalis,Root,1.258905,103.754918,AFI1263,MUX8041
HO_BLANK_01,Blank,Blank,Blank,Blank,1.258905,103.754918,AFI1264,MUX8041
HO_CY_Ro_05,Cyrene,Singapore,Halophila ovalis,Root,1.258905,103.754918,AFI1265,MUX8041
HO_CY_Ro_06,Cyrene,Singapore,Halophila ovalis,Root,1.258905,103.754918,AFI1266,MUX8041
HO_CY_Ro_07,Cyrene,Singapore,Halophila ovalis,Root,1.258905,103.754918,AFI1267,MUX8041
HO_CY_Ro_08,Cyrene,Singapore,Halophila ovalis,Root,1.258905,103.754918,AFI1268,MUX8041
HO_CY_Ro_09,Cyrene,Singapore,Halophila ovalis,Root,1.258905,103.754918,AFI1269,MUX8041
